Agent ID,Agent Name,Agent Type,taxonomy ID,taxonomy level,Lineage,Agent properties,HAMAP,Viralzone,Viralzone Link,GOLD
3,Actinobacillus pleuropneumoniae Serotype 1,Bacterium,40325,0,"[<a href=""/agents/1""> Actinobacillus</a>, <a href=""/agents/2""> pleuropneumoniae</a>, <a href=""/agents/3""> Serotype 1</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/2"">Facultative anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/3"">Nonmotile</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>]","
            -
		    ",,,
4,Actinobacillus pleuropneumoniae Serotype 2,Bacterium,34063,0,"[<a href=""/agents/1""> Actinobacillus</a>, <a href=""/agents/2""> pleuropneumoniae</a>, <a href=""/agents/4""> Serotype 2</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/2"">Facultative anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/3"">Nonmotile</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>]","
            -
		    ",,,
11,Actinomyces naeslundii ATCC 12104,Bacterium,1655,0,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/6""> naeslundii</a>, <a href=""/agents/11""> ATCC 12104</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            ACTNA
		    ",,,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=4264"" target=""_new"">4264</a></p>]"
8,Actinomyces naeslundii N/S,Bacterium,1655,1,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/6""> naeslundii</a>, <a href=""/agents/8""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/2"">Facultative anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>]","
            -
		    ",,,
10,Actinomyces naeslundii N/S,Bacterium,1655,1,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/6""> naeslundii</a>, <a href=""/agents/10""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            -
		    ",,,
7,Actinomyces naeslundii N/S,Bacterium,1655,1,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/6""> naeslundii</a>, <a href=""/agents/7""> N/S</a>]","[<p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/1"">Gram-negative</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/2"">Facultative anaerobic</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/3"">Nonmotile</a> </p>, <p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>]","
            -
		    ",,,
9,Actinomyces naeslundii WVU45,Bacterium,1655,0,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/6""> naeslundii</a>, <a href=""/agents/9""> WVU45</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            ACTNA
		    ",,,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=4264"" target=""_new"">4264</a></p>]"
12,Actinomyces naeslundii WVU45,Bacterium,1655,1,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/6""> naeslundii</a>, <a href=""/agents/12""> WVU45</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            ACTNA
		    ",,,
13,Actinomyces spp.,Bacterium,29317,0,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/13""> spp.</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            -
		    ",,,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=4304"" target=""_new"">4304</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=34316"" target=""_new"">34316</a></p>, <p> <a href=""https://gold.jgi.doe.gov/organisms?id=34317"" target=""_new"">34317</a></p>]"
14,Actinomyces viscosus,Bacterium,1656,0,"[<a href=""/agents/5""> Actinomyces</a>, <a href=""/agents/14""> viscosus</a>]","[<p> <a href=""/agentPropertyTypes/4"">Morphology</a> : <a href=""/agentProperties/4"">Coccobacillus</a> </p>, <p> <a href=""/agentPropertyTypes/1"">Gram-stain</a> : <a href=""/agentProperties/5"">Gram-positive</a> </p>, <p> <a href=""/agentPropertyTypes/3"">Motility</a> : <a href=""/agentProperties/6"">Unipolar</a> </p>, <p> <a href=""/agentPropertyTypes/2"">Metabolism</a> : <a href=""/agentProperties/7"">Aerobic</a> </p>]","
            ACTVI
		    ",,,"[<p> <a href=""https://gold.jgi.doe.gov/organisms?id=33249"" target=""_new"">33249</a></p>]"
